State / County / Place,Total Population,"White alone, Not Hispanic",White Alone Percent of Total,"Black or African American alone, Not Hispanic",Black Alone Percent of Total,"American Indian and Alaska Native alone, Not Hispanic",AIAN Percent of Total,"Asian alone, Not Hispanic",Asian Percent of Total,"Native Hawaiian and Other Pacific Islander alone, Not Hispanic",NHOPI Percent of Total,"Some other race alone, Not Hispanic",Other Percent of Total,"Two or more races, Not Hispanic",Two Plus Percent of Total,Hispanic/ Latino (2),PERCENT_HISP,PERCENT_WHITE,Summary level,State,County,Census Tract
Census Tract 169.01,"7,217","5,023",69.60%,305,4.20%,29,0.40%,132,1.80%,12,0.20%,38,0.50%,391,5.40%,"1,287",0.18,0.7,140,6,73,16901
Census Tract 169.02,"2,562","1,337",52.20%,18,0.70%,527,20.60%,33,1.30%,2,0.10%,20,0.80%,140,5.50%,485,0.19,0.52,140,6,73,16902
Census Tract 170.06,"2,924","2,169",74.20%,15,0.50%,9,0.30%,250,8.50%,3,0.10%,10,0.30%,180,6.20%,288,0.1,0.74,140,6,73,17006
Census Tract 170.09,"4,482","2,472",55.20%,52,1.20%,12,0.30%,504,11.20%,13,0.30%,28,0.60%,275,6.10%,"1,126",0.25,0.55,140,6,73,17009
Census Tract 170.10,"3,110","1,842",59.20%,44,1.40%,11,0.40%,400,12.90%,11,0.40%,11,0.40%,261,8.40%,530,0.17,0.59,140,6,73,17010
Census Tract 170.14,"2,493","1,999",80.20%,30,1.20%,2,0.10%,217,8.70%,4,0.20%,4,0.20%,69,2.80%,168,0.07,0.8,140,6,73,17014
Census Tract 170.18,"3,727","1,462",39.20%,102,2.70%,4,0.10%,"1,166",31.30%,16,0.40%,19,0.50%,286,7.70%,672,0.18,0.39,140,6,73,17018
Census Tract 170.20,"3,986","2,845",71.40%,33,0.80%,7,0.20%,375,9.40%,6,0.20%,15,0.40%,257,6.40%,448,0.11,0.71,140,6,73,17020
Census Tract 170.21,"3,182","2,393",75.20%,29,0.90%,2,0.10%,249,7.80%,2,0.10%,16,0.50%,215,6.80%,276,0.09,0.75,140,6,73,17021
Census Tract 170.22,"5,665","3,381",59.70%,164,2.90%,7,0.10%,898,15.90%,13,0.20%,41,0.70%,470,8.30%,691,0.12,0.6,140,6,73,17022
Census Tract 170.31,"4,003","2,141",53.50%,91,2.30%,2,0.00%,807,20.20%,18,0.40%,18,0.40%,303,7.60%,623,0.16,0.53,140,6,73,17031
Census Tract 170.33,"5,608","2,414",43.00%,95,1.70%,5,0.10%,"2,017",36.00%,18,0.30%,24,0.40%,458,8.20%,577,0.1,0.43,140,6,73,17033
Census Tract 170.34,"4,893","2,504",51.20%,142,2.90%,15,0.30%,"1,050",21.50%,10,0.20%,33,0.70%,371,7.60%,768,0.16,0.51,140,6,73,17034
Census Tract 170.35,"3,319","1,408",42.40%,205,6.20%,2,0.10%,918,27.70%,2,0.10%,26,0.80%,258,7.80%,500,0.15,0.42,140,6,73,17035
Census Tract 170.36,"3,352","1,456",43.40%,123,3.70%,4,0.10%,"1,067",31.80%,26,0.80%,24,0.70%,225,6.70%,427,0.13,0.43,140,6,73,17036
Census Tract 170.37,"5,876","2,672",45.50%,115,2.00%,7,0.10%,"1,952",33.20%,17,0.30%,25,0.40%,395,6.70%,693,0.12,0.45,140,6,73,17037
Census Tract 170.39,"6,915","3,084",44.60%,164,2.40%,2,0.00%,"2,360",34.10%,26,0.40%,48,0.70%,417,6.00%,814,0.12,0.45,140,6,73,17039
Census Tract 170.40,"4,277","2,311",54.00%,55,1.30%,7,0.20%,760,17.80%,16,0.40%,20,0.50%,304,7.10%,804,0.19,0.54,140,6,73,17040
Census Tract 170.41,"6,111","3,386",55.40%,110,1.80%,12,0.20%,859,14.10%,22,0.40%,24,0.40%,428,7.00%,"1,270",0.21,0.55,140,6,73,17041
Census Tract 170.43,"5,891","2,248",38.20%,161,2.70%,15,0.30%,"2,370",40.20%,11,0.20%,31,0.50%,401,6.80%,654,0.11,0.38,140,6,73,17043
Census Tract 170.44,"5,638","2,439",43.30%,81,1.40%,9,0.20%,"2,325",41.20%,8,0.10%,41,0.70%,321,5.70%,414,0.07,0.43,140,6,73,17044
Census Tract 170.45,"2,703","1,289",47.70%,45,1.70%,7,0.30%,933,34.50%,2,0.10%,16,0.60%,175,6.50%,236,0.09,0.48,140,6,73,17045
Census Tract 170.46,"3,727","2,118",56.80%,43,1.20%,7,0.20%,991,26.60%,8,0.20%,19,0.50%,200,5.40%,341,0.09,0.57,140,6,73,17046
Census Tract 170.47,"3,996","2,681",67.10%,42,1.10%,6,0.20%,617,15.40%,10,0.30%,23,0.60%,264,6.60%,353,0.09,0.67,140,6,73,17047
Census Tract 170.48,"6,627","2,791",42.10%,151,2.30%,8,0.10%,"1,170",17.70%,24,0.40%,31,0.50%,420,6.30%,"2,032",0.31,0.42,140,6,73,17048
Census Tract 170.49,"3,033","1,652",54.50%,53,1.70%,4,0.10%,386,12.70%,1,0.00%,15,0.50%,190,6.30%,732,0.24,0.54,140,6,73,17049
Census Tract 170.50,"3,011","1,498",49.80%,40,1.30%,12,0.40%,625,20.80%,0,0.00%,25,0.80%,159,5.30%,652,0.22,0.5,140,6,73,17050
Census Tract 170.51,"4,669","2,671",57.20%,91,1.90%,4,0.10%,"1,099",23.50%,11,0.20%,23,0.50%,255,5.50%,515,0.11,0.57,140,6,73,17051
Census Tract 170.52,"5,137","2,465",48.00%,104,2.00%,13,0.30%,"1,562",30.40%,8,0.20%,16,0.30%,287,5.60%,682,0.13,0.48,140,6,73,17052
Census Tract 170.53,"3,406","2,510",73.70%,23,0.70%,0,0.00%,286,8.40%,2,0.10%,31,0.90%,228,6.70%,326,0.1,0.74,140,6,73,17053
Census Tract 170.54,"5,654","3,841",67.90%,70,1.20%,4,0.10%,710,12.60%,9,0.20%,14,0.20%,358,6.30%,648,0.12,0.68,140,6,73,17054
Census Tract 170.55,"5,125","2,282",44.50%,83,1.60%,0,0.00%,"1,923",37.50%,12,0.20%,13,0.30%,339,6.60%,473,0.09,0.45,140,6,73,17055
Census Tract 170.56,"4,426","2,142",48.40%,154,3.50%,15,0.30%,"1,143",25.80%,17,0.40%,26,0.60%,321,7.30%,608,0.14,0.48,140,6,73,17056
Census Tract 170.57,"3,763","2,423",64.40%,46,1.20%,2,0.10%,575,15.30%,4,0.10%,28,0.70%,243,6.50%,442,0.12,0.64,140,6,73,17057
Census Tract 170.58,"4,048","2,084",51.50%,149,3.70%,5,0.10%,943,23.30%,5,0.10%,26,0.60%,295,7.30%,541,0.13,0.51,140,6,73,17058
Census Tract 170.59,"3,609","2,769",76.70%,32,0.90%,7,0.20%,319,8.80%,3,0.10%,22,0.60%,173,4.80%,284,0.08,0.77,140,6,73,17059
Census Tract 170.60,"2,728","2,003",73.40%,36,1.30%,0,0.00%,332,12.20%,6,0.20%,19,0.70%,135,4.90%,197,0.07,0.73,140,6,73,17060
Census Tract 170.61,"3,838","2,824",73.60%,21,0.50%,0,0.00%,467,12.20%,2,0.10%,8,0.20%,200,5.20%,316,0.08,0.74,140,6,73,17061
Census Tract 170.62,"5,489","3,500",63.80%,70,1.30%,9,0.20%,"1,039",18.90%,11,0.20%,26,0.50%,288,5.20%,546,0.1,0.64,140,6,73,17062
Census Tract 170.63,"4,659","2,665",57.20%,73,1.60%,1,0.00%,"1,067",22.90%,10,0.20%,15,0.30%,293,6.30%,535,0.12,0.57,140,6,73,17063
Census Tract 170.64,"7,844","2,205",28.10%,95,1.20%,12,0.20%,"4,487",57.20%,4,0.10%,46,0.60%,445,5.70%,550,0.07,0.28,140,6,73,17064
Census Tract 170.65,"9,344","4,352",46.60%,141,1.50%,8,0.10%,"3,255",34.80%,12,0.10%,72,0.80%,666,7.10%,838,0.09,0.47,140,6,73,17065
Census Tract 170.66,"5,989","3,384",56.50%,100,1.70%,10,0.20%,"1,453",24.30%,6,0.10%,41,0.70%,413,6.90%,582,0.1,0.57,140,6,73,17066
Census Tract 170.67,"3,213","1,553",48.30%,51,1.60%,1,0.00%,"1,099",34.20%,6,0.20%,27,0.80%,167,5.20%,309,0.1,0.48,140,6,73,17067
Census Tract 170.68,"4,778","1,999",41.80%,122,2.60%,2,0.00%,"1,819",38.10%,16,0.30%,9,0.20%,313,6.60%,498,0.1,0.42,140,6,73,17068
Census Tract 170.69,"2,544","1,338",52.60%,42,1.70%,2,0.10%,709,27.90%,1,0.00%,8,0.30%,196,7.70%,248,0.1,0.53,140,6,73,17069
Census Tract 170.70,"6,376","2,426",38.00%,86,1.30%,2,0.00%,"2,793",43.80%,9,0.10%,42,0.70%,467,7.30%,551,0.09,0.38,140,6,73,17070
Census Tract 170.71,"5,073","2,060",40.60%,116,2.30%,4,0.10%,"1,792",35.30%,23,0.50%,38,0.70%,359,7.10%,681,0.13,0.41,140,6,73,17071
Census Tract 171.04,"4,014","3,013",75.10%,7,0.20%,10,0.20%,153,3.80%,2,0.00%,28,0.70%,234,5.80%,567,0.14,0.75,140,6,73,17104
Census Tract 171.06,"5,100","4,096",80.30%,35,0.70%,11,0.20%,267,5.20%,13,0.30%,36,0.70%,220,4.30%,422,0.08,0.8,140,6,73,17106
Census Tract 171.07,"2,858","2,161",75.60%,24,0.80%,0,0.00%,206,7.20%,0,0.00%,11,0.40%,194,6.80%,262,0.09,0.76,140,6,73,17107
Census Tract 171.08,"4,717","3,578",75.90%,28,0.60%,6,0.10%,203,4.30%,5,0.10%,37,0.80%,319,6.80%,541,0.12,0.76,140,6,73,17108
Census Tract 171.09,"6,845","5,025",73.40%,56,0.80%,0,0.00%,549,8.00%,4,0.10%,40,0.60%,467,6.80%,704,0.1,0.73,140,6,73,17109
Census Tract 171.11,"4,415","3,488",79.00%,42,1.00%,3,0.10%,276,6.30%,1,0.00%,28,0.60%,209,4.70%,368,0.08,0.79,140,6,73,17111
Census Tract 171.12,"2,602","1,890",72.60%,19,0.70%,4,0.20%,203,7.80%,0,0.00%,12,0.50%,169,6.50%,305,0.12,0.73,140,6,73,17112
Census Tract 171.13,"5,381","2,914",54.20%,84,1.60%,10,0.20%,577,10.70%,9,0.20%,30,0.60%,351,6.50%,"1,406",0.26,0.54,140,6,73,17113
Census Tract 172.01,"1,905","1,579",82.90%,9,0.50%,0,0.00%,76,4.00%,3,0.20%,11,0.60%,92,4.80%,135,0.07,0.83,140,6,73,17201
Census Tract 172.02,"2,035","1,695",83.30%,6,0.30%,2,0.10%,69,3.40%,1,0.00%,15,0.70%,111,5.50%,136,0.07,0.83,140,6,73,17202
Census Tract 173.03,"3,033","2,494",82.20%,12,0.40%,6,0.20%,123,4.10%,0,0.00%,21,0.70%,169,5.60%,208,0.07,0.82,140,6,73,17303
Census Tract 173.05,"3,100","2,528",81.50%,15,0.50%,0,0.00%,170,5.50%,3,0.10%,9,0.30%,149,4.80%,226,0.07,0.82,140,6,73,17305
Census Tract 173.06,"2,855","2,336",81.80%,16,0.60%,10,0.40%,156,5.50%,0,0.00%,24,0.80%,116,4.10%,197,0.07,0.82,140,6,73,17306
Census Tract 173.07,"2,264","1,806",79.80%,12,0.50%,5,0.20%,83,3.70%,0,0.00%,15,0.70%,111,4.90%,232,0.1,0.8,140,6,73,17307
Census Tract 173.08,"3,178","1,804",56.80%,23,0.70%,7,0.20%,110,3.50%,3,0.10%,14,0.40%,125,3.90%,"1,092",0.34,0.57,140,6,73,17308
Census Tract 174.03,"4,998","3,928",78.60%,22,0.40%,9,0.20%,209,4.20%,2,0.00%,27,0.50%,271,5.40%,530,0.11,0.79,140,6,73,17403
Census Tract 174.05,"3,604","2,479",68.80%,18,0.50%,4,0.10%,126,3.50%,4,0.10%,32,0.90%,230,6.40%,711,0.2,0.69,140,6,73,17405
Census Tract 174.06,"3,135","2,509",80.00%,8,0.30%,5,0.20%,132,4.20%,6,0.20%,16,0.50%,167,5.30%,292,0.09,0.8,140,6,73,17406
Census Tract 174.07,"3,080","2,554",82.90%,10,0.30%,7,0.20%,97,3.10%,2,0.10%,24,0.80%,151,4.90%,235,0.08,0.83,140,6,73,17407
Census Tract 174.08,"2,684","1,956",72.90%,10,0.40%,5,0.20%,109,4.10%,16,0.60%,23,0.90%,164,6.10%,401,0.15,0.73,140,6,73,17408
Census Tract 175.01,"2,755","2,196",79.70%,13,0.50%,10,0.40%,68,2.50%,1,0.00%,15,0.50%,148,5.40%,304,0.11,0.8,140,6,73,17501
Census Tract 175.02,"3,674","2,173",59.10%,22,0.60%,7,0.20%,164,4.50%,5,0.10%,18,0.50%,173,4.70%,"1,112",0.3,0.59,140,6,73,17502
Census Tract 176.01,"5,511","4,453",80.80%,23,0.40%,8,0.10%,241,4.40%,4,0.10%,23,0.40%,259,4.70%,500,0.09,0.81,140,6,73,17601
Census Tract 176.03,"2,498","1,772",70.90%,7,0.30%,6,0.20%,75,3.00%,0,0.00%,10,0.40%,158,6.30%,470,0.19,0.71,140,6,73,17603
Census Tract 176.05,"3,692","2,320",62.80%,25,0.70%,2,0.10%,281,7.60%,0,0.00%,9,0.20%,218,5.90%,837,0.23,0.63,140,6,73,17605
Census Tract 176.06,"3,988","2,513",63.00%,21,0.50%,14,0.40%,196,4.90%,10,0.30%,26,0.70%,188,4.70%,"1,020",0.26,0.63,140,6,73,17606
Census Tract 177.01,"5,379","3,932",73.10%,23,0.40%,14,0.30%,137,2.50%,3,0.10%,45,0.80%,324,6.00%,901,0.17,0.73,140,6,73,17701
Census Tract 177.02,"2,923","2,261",77.40%,10,0.30%,8,0.30%,81,2.80%,4,0.10%,24,0.80%,160,5.50%,375,0.13,0.77,140,6,73,17702
Census Tract 178.01,"7,000","4,851",69.30%,114,1.60%,16,0.20%,324,4.60%,14,0.20%,59,0.80%,402,5.70%,"1,220",0.17,0.69,140,6,73,17801
Census Tract 178.08,"6,166","4,641",75.30%,34,0.60%,10,0.20%,524,8.50%,7,0.10%,24,0.40%,409,6.60%,517,0.08,0.75,140,6,73,17808
Census Tract 178.09,"2,324","1,802",77.50%,11,0.50%,7,0.30%,57,2.50%,3,0.10%,23,1.00%,123,5.30%,298,0.13,0.78,140,6,73,17809
Census Tract 178.10,"5,067","3,905",77.10%,30,0.60%,18,0.40%,211,4.20%,13,0.30%,20,0.40%,271,5.30%,599,0.12,0.77,140,6,73,17810
Census Tract 178.11,"6,806","4,757",69.90%,57,0.80%,18,0.30%,789,11.60%,12,0.20%,42,0.60%,405,6.00%,726,0.11,0.7,140,6,73,17811
Census Tract 178.13,"4,370","3,387",77.50%,46,1.10%,22,0.50%,169,3.90%,3,0.10%,23,0.50%,237,5.40%,483,0.11,0.78,140,6,73,17813
Census Tract 179.01,"3,767","2,219",58.90%,38,1.00%,4,0.10%,126,3.30%,15,0.40%,28,0.70%,194,5.10%,"1,143",0.3,0.59,140,6,73,17901
Census Tract 179.02,"2,883","1,585",55.00%,17,0.60%,13,0.50%,77,2.70%,6,0.20%,11,0.40%,130,4.50%,"1,044",0.36,0.55,140,6,73,17902
Census Tract 180,"3,089","2,376",76.90%,21,0.70%,15,0.50%,92,3.00%,9,0.30%,18,0.60%,180,5.80%,378,0.12,0.77,140,6,73,18000
Census Tract 181.01,"3,474","2,178",62.70%,30,0.90%,14,0.40%,74,2.10%,21,0.60%,18,0.50%,189,5.40%,950,0.27,0.63,140,6,73,18101
Census Tract 181.02,"2,544","1,769",69.50%,42,1.70%,19,0.70%,56,2.20%,15,0.60%,18,0.70%,147,5.80%,478,0.19,0.7,140,6,73,18102
Census Tract 182.01,"2,942","1,355",46.10%,52,1.80%,8,0.30%,65,2.20%,16,0.50%,20,0.70%,154,5.20%,"1,272",0.43,0.46,140,6,73,18201
Census Tract 182.02,"3,122","1,239",39.70%,65,2.10%,7,0.20%,47,1.50%,1,0.00%,24,0.80%,96,3.10%,"1,643",0.53,0.4,140,6,73,18202
Census Tract 183.01,"1,008",747,74.10%,17,1.70%,1,0.10%,31,3.10%,1,0.10%,8,0.80%,80,7.90%,123,0.12,0.74,140,6,73,18301
Census Tract 183.02,"1,335",911,68.20%,34,2.50%,2,0.10%,36,2.70%,4,0.30%,16,1.20%,64,4.80%,268,0.2,0.68,140,6,73,18302
Census Tract 184,"3,561","1,871",52.50%,93,2.60%,8,0.20%,246,6.90%,32,0.90%,36,1.00%,192,5.40%,"1,083",0.3,0.53,140,6,73,18400
Census Tract 185.04,"6,797","4,347",64.00%,141,2.10%,16,0.20%,289,4.30%,54,0.80%,31,0.50%,439,6.50%,"1,480",0.22,0.64,140,6,73,18504
Census Tract 185.09,"4,974","1,442",29.00%,262,5.30%,13,0.30%,155,3.10%,43,0.90%,24,0.50%,198,4.00%,"2,837",0.57,0.29,140,6,73,18509
Census Tract 185.10,"3,419","1,174",34.30%,152,4.40%,7,0.20%,213,6.20%,31,0.90%,5,0.10%,180,5.30%,"1,657",0.49,0.34,140,6,73,18510
Census Tract 185.11,"4,959","1,984",40.00%,191,3.90%,18,0.40%,235,4.70%,58,1.20%,30,0.60%,301,6.10%,"2,142",0.43,0.4,140,6,73,18511
Census Tract 185.12,"3,647","2,395",65.70%,141,3.90%,14,0.40%,193,5.30%,19,0.50%,25,0.70%,128,3.50%,732,0.2,0.66,140,6,73,18512
Census Tract 185.15,"5,064","3,189",63.00%,191,3.80%,18,0.40%,329,6.50%,35,0.70%,28,0.60%,263,5.20%,"1,011",0.2,0.63,140,6,73,18515
Census Tract 185.16,"3,940","1,704",43.20%,122,3.10%,12,0.30%,242,6.10%,73,1.90%,22,0.60%,244,6.20%,"1,521",0.39,0.43,140,6,73,18516
Census Tract 185.17,"3,996","2,161",54.10%,137,3.40%,13,0.30%,226,5.70%,25,0.60%,18,0.50%,213,5.30%,"1,203",0.3,0.54,140,6,73,18517
Census Tract 185.18,"3,132",720,23.00%,76,2.40%,9,0.30%,141,4.50%,55,1.80%,23,0.70%,111,3.50%,"1,997",0.64,0.23,140,6,73,18518
Census Tract 185.19,"5,575","1,239",22.20%,162,2.90%,21,0.40%,267,4.80%,100,1.80%,23,0.40%,178,3.20%,"3,585",0.64,0.22,140,6,73,18519
Census Tract 185.20,"5,540","1,480",26.70%,181,3.30%,15,0.30%,388,7.00%,70,1.30%,38,0.70%,236,4.30%,"3,132",0.57,0.27,140,6,73,18520
Census Tract 185.21,"4,888","1,986",40.60%,273,5.60%,14,0.30%,855,17.50%,105,2.10%,25,0.50%,312,6.40%,"1,318",0.27,0.41,140,6,73,18521
Census Tract 185.22,"5,371","2,492",46.40%,265,4.90%,20,0.40%,557,10.40%,75,1.40%,27,0.50%,441,8.20%,"1,494",0.28,0.46,140,6,73,18522
Census Tract 185.23,"5,116","2,379",46.50%,279,5.50%,11,0.20%,524,10.20%,40,0.80%,43,0.80%,372,7.30%,"1,468",0.29,0.47,140,6,73,18523
Census Tract 185.24,"3,642","1,697",46.60%,221,6.10%,10,0.30%,423,11.60%,19,0.50%,23,0.60%,238,6.50%,"1,011",0.28,0.47,140,6,73,18524
Census Tract 185.25,"4,395","2,253",51.30%,230,5.20%,12,0.30%,569,12.90%,25,0.60%,30,0.70%,335,7.60%,941,0.21,0.51,140,6,73,18525
Census Tract 186.01,"4,622","2,424",52.40%,97,2.10%,21,0.50%,433,9.40%,57,1.20%,29,0.60%,326,7.10%,"1,235",0.27,0.52,140,6,73,18601
Census Tract 186.08,"3,103","1,401",45.10%,188,6.10%,8,0.30%,314,10.10%,44,1.40%,33,1.10%,215,6.90%,900,0.29,0.45,140,6,73,18608
Census Tract 186.09,"6,286","1,560",24.80%,299,4.80%,6,0.10%,529,8.40%,76,1.20%,24,0.40%,319,5.10%,"3,473",0.55,0.25,140,6,73,18609
Census Tract 186.12,"4,098","1,781",43.50%,184,4.50%,8,0.20%,327,8.00%,33,0.80%,41,1.00%,208,5.10%,"1,516",0.37,0.43,140,6,73,18612
Census Tract 186.13,"4,117","1,325",32.20%,298,7.20%,12,0.30%,349,8.50%,105,2.60%,21,0.50%,267,6.50%,"1,740",0.42,0.32,140,6,73,18613
Census Tract 186.15,"2,814",585,20.80%,68,2.40%,3,0.10%,86,3.10%,28,1.00%,15,0.50%,79,2.80%,"1,950",0.69,0.21,140,6,73,18615
Census Tract 186.16,"3,724","1,152",30.90%,244,6.60%,9,0.20%,166,4.50%,53,1.40%,38,1.00%,155,4.20%,"1,907",0.51,0.31,140,6,73,18616
Census Tract 186.17,"3,561","1,187",33.30%,165,4.60%,6,0.20%,357,10.00%,101,2.80%,16,0.40%,232,6.50%,"1,497",0.42,0.33,140,6,73,18617
Census Tract 186.18,"3,969",515,13.00%,116,2.90%,1,0.00%,220,5.50%,47,1.20%,15,0.40%,129,3.30%,"2,926",0.74,0.13,140,6,73,18618
Census Tract 186.19,"6,194","3,451",55.70%,186,3.00%,15,0.20%,770,12.40%,64,1.00%,30,0.50%,415,6.70%,"1,263",0.2,0.56,140,6,73,18619
Census Tract 186.20,"2,718",478,17.60%,118,4.30%,5,0.20%,188,6.90%,90,3.30%,6,0.20%,143,5.30%,"1,690",0.62,0.18,140,6,73,18620
Census Tract 186.21,"1,640",444,27.10%,97,5.90%,3,0.20%,123,7.50%,11,0.70%,15,0.90%,77,4.70%,870,0.53,0.27,140,6,73,18621
Census Tract 186.22,"5,130","1,910",37.20%,270,5.30%,43,0.80%,470,9.20%,84,1.60%,29,0.60%,258,5.00%,"2,066",0.4,0.37,140,6,73,18622
Census Tract 187,"37,892","20,474",54.00%,"3,085",8.10%,339,0.90%,"1,296",3.40%,359,0.90%,98,0.30%,"1,293",3.40%,"10,948",0.29,0.54,140,6,73,18700
Census Tract 188.01,"3,808","2,498",65.60%,23,0.60%,12,0.30%,103,2.70%,8,0.20%,6,0.20%,194,5.10%,964,0.25,0.66,140,6,73,18801
Census Tract 188.03,"5,056","3,287",65.00%,75,1.50%,14,0.30%,197,3.90%,10,0.20%,18,0.40%,272,5.40%,"1,183",0.23,0.65,140,6,73,18803
Census Tract 188.04,"5,536","4,109",74.20%,39,0.70%,22,0.40%,207,3.70%,15,0.30%,31,0.60%,271,4.90%,842,0.15,0.74,140,6,73,18804
Census Tract 188.05,"3,572","2,475",69.30%,27,0.80%,16,0.40%,114,3.20%,2,0.10%,10,0.30%,218,6.10%,710,0.2,0.69,140,6,73,18805
Census Tract 189.03,"5,161","2,072",40.10%,63,1.20%,16,0.30%,102,2.00%,28,0.50%,23,0.40%,171,3.30%,"2,686",0.52,0.4,140,6,73,18903
Census Tract 189.04,"6,316","2,145",34.00%,65,1.00%,29,0.50%,135,2.10%,19,0.30%,32,0.50%,141,2.20%,"3,750",0.59,0.34,140,6,73,18904
Census Tract 189.05,"6,764","1,917",28.30%,142,2.10%,19,0.30%,108,1.60%,14,0.20%,23,0.30%,211,3.10%,"4,330",0.64,0.28,140,6,73,18905
Census Tract 189.06,"6,298","2,212",35.10%,138,2.20%,12,0.20%,143,2.30%,10,0.20%,34,0.50%,240,3.80%,"3,509",0.56,0.35,140,6,73,18906
Census Tract 190.01,"6,395","4,272",66.80%,45,0.70%,24,0.40%,184,2.90%,18,0.30%,27,0.40%,254,4.00%,"1,571",0.25,0.67,140,6,73,19001
Census Tract 190.02,"3,581","1,607",44.90%,112,3.10%,5,0.10%,303,8.50%,8,0.20%,17,0.50%,212,5.90%,"1,317",0.37,0.45,140,6,73,19002
Census Tract 191.03,"7,046","4,109",58.30%,48,0.70%,47,0.70%,249,3.50%,10,0.10%,36,0.50%,380,5.40%,"2,167",0.31,0.58,140,6,73,19103
Census Tract 191.05,"6,920","4,721",68.20%,110,1.60%,28,0.40%,393,5.70%,8,0.10%,42,0.60%,370,5.30%,"1,248",0.18,0.68,140,6,73,19105
Census Tract 191.07,"2,470","1,280",51.80%,19,0.80%,306,12.40%,35,1.40%,3,0.10%,16,0.60%,90,3.60%,721,0.29,0.52,140,6,73,19107
Census Tract 191.08,"3,072",738,24.00%,10,0.30%,939,30.60%,41,1.30%,3,0.10%,25,0.80%,76,2.50%,"1,240",0.4,0.24,140,6,73,19108
Census Tract 191.09,"4,793","2,318",48.40%,92,1.90%,121,2.50%,232,4.80%,41,0.90%,11,0.20%,267,5.60%,"1,711",0.36,0.48,140,6,73,19109
Census Tract 191.10,"5,438","2,682",49.30%,22,0.40%,514,9.50%,105,1.90%,27,0.50%,10,0.20%,220,4.00%,"1,858",0.34,0.49,140,6,73,19110
Census Tract 191.11,"4,417","1,989",45.00%,68,1.50%,365,8.30%,199,4.50%,5,0.10%,36,0.80%,178,4.00%,"1,577",0.36,0.45,140,6,73,19111
Census Tract 192.03,"2,952","1,586",53.70%,33,1.10%,11,0.40%,133,4.50%,23,0.80%,16,0.50%,202,6.80%,948,0.32,0.54,140,6,73,19203
Census Tract 192.05,"6,472","1,847",28.50%,155,2.40%,22,0.30%,310,4.80%,69,1.10%,38,0.60%,163,2.50%,"3,868",0.6,0.29,140,6,73,19205
Census Tract 192.06,"5,586","1,022",18.30%,119,2.10%,12,0.20%,196,3.50%,25,0.40%,28,0.50%,156,2.80%,"4,028",0.72,0.18,140,6,73,19206
Census Tract 192.08,"3,564","2,304",64.60%,20,0.60%,6,0.20%,127,3.60%,3,0.10%,15,0.40%,179,5.00%,910,0.26,0.65,140,6,73,19208
Census Tract 192.09,"3,270","2,271",69.40%,30,0.90%,9,0.30%,123,3.80%,13,0.40%,14,0.40%,170,5.20%,640,0.2,0.69,140,6,73,19209
Census Tract 192.10,"5,882","1,496",25.40%,137,2.30%,10,0.20%,277,4.70%,42,0.70%,32,0.50%,193,3.30%,"3,695",0.63,0.25,140,6,73,19210
Census Tract 193.01,"6,651","3,512",52.80%,190,2.90%,18,0.30%,781,11.70%,57,0.90%,30,0.50%,434,6.50%,"1,629",0.25,0.53,140,6,73,19301
Census Tract 193.03,"8,025","3,821",47.60%,210,2.60%,45,0.60%,586,7.30%,73,0.90%,48,0.60%,486,6.10%,"2,756",0.34,0.48,140,6,73,19303
Census Tract 193.04,"3,548","1,766",49.80%,155,4.40%,13,0.40%,245,6.90%,38,1.10%,22,0.60%,229,6.50%,"1,080",0.3,0.5,140,6,73,19304
Census Tract 193.05,"3,983","2,089",52.40%,156,3.90%,10,0.30%,273,6.90%,32,0.80%,22,0.60%,233,5.80%,"1,168",0.29,0.52,140,6,73,19305
Census Tract 194.03,"6,489","2,263",34.90%,205,3.20%,31,0.50%,461,7.10%,53,0.80%,39,0.60%,355,5.50%,"3,082",0.48,0.35,140,6,73,19403
Census Tract 194.04,"3,697",514,13.90%,30,0.80%,4,0.10%,92,2.50%,31,0.80%,2,0.10%,91,2.50%,"2,933",0.79,0.14,140,6,73,19404
Census Tract 194.05,"3,813","1,125",29.50%,127,3.30%,16,0.40%,196,5.10%,64,1.70%,19,0.50%,183,4.80%,"2,083",0.55,0.3,140,6,73,19405
Census Tract 194.06,"4,959","1,946",39.20%,105,2.10%,14,0.30%,266,5.40%,25,0.50%,27,0.50%,272,5.50%,"2,304",0.47,0.39,140,6,73,19406
Census Tract 195.01,"3,831",284,7.40%,63,1.60%,6,0.20%,87,2.30%,17,0.40%,20,0.50%,59,1.50%,"3,295",0.86,0.07,140,6,73,19501
Census Tract 195.02,"5,492",622,11.30%,68,1.20%,14,0.30%,74,1.30%,12,0.20%,25,0.50%,70,1.30%,"4,607",0.84,0.11,140,6,73,19502
Census Tract 195.03,"5,032","1,242",24.70%,119,2.40%,8,0.20%,181,3.60%,25,0.50%,31,0.60%,187,3.70%,"3,239",0.64,0.25,140,6,73,19503
Census Tract 196.01,"6,622","2,938",44.40%,138,2.10%,20,0.30%,215,3.20%,30,0.50%,61,0.90%,356,5.40%,"2,864",0.43,0.44,140,6,73,19601
Census Tract 196.02,"5,438","2,504",46.00%,127,2.30%,24,0.40%,160,2.90%,23,0.40%,40,0.70%,250,4.60%,"2,310",0.43,0.46,140,6,73,19602
